DHW,InitMort
0,0
0,0
0,0
1.7,0.525
1.87,4.579
2.11,0
2.48,0
2.64,0
2.72,3.015
2.85,6.742
2.91,5.369
2.99,3.93
2.94,2.558
2.87,14.129
2.63,22.822
3.13,2.167
3.14,0
3.33,0.729
3.35,0.403
3.55,0.142
3.71,2.627
4.26,1.78
4.24,16.228
4.74,26.232
5.13,21.331
5.21,20.22
4.98,16.427
4.91,0.149
5.46,7.212
5.75,0
5.87,11.463
5.79,15.974
6.41,15.519
6.55,2.968
6.43,15.454
6.69,4.08
6.87,26.896
6.93,33.63
6.98,18.66
7.04,1.924
7.19,4.409
7.2,15.98
7.21,29.971
7.42,4.41
7.35,12.582
7.68,2.516
7.69,14.15
7.66,31.019
7.58,50.435
7.74,48.147
7.95,42.395
8.02,16.181
8.11,13.631
8.86,6.182
8.81,17.427
8.78,24.552
8.73,27.036
9.32,23.966
9.37,40.31
9.46,44.56
9.86,46.13
