SHELF,REEF,CATEGORY,STORM_DATE,DESCRIPTION,AllCorals,AcroArbo,AcroTab,AcroCory,Pocillo,SmallMass,LgMass
O,Agincourt 1,2,AFTER,YASI-4,12.38,0.10,0.20,0.70,1.32,8.59,1.47
O,Agincourt 1,2,AFTER,YASI-4,10.60,0.05,0.20,0.55,1.30,6.85,1.65
O,Agincourt 1,2,AFTER,YASI-4,11.40,0.10,0.45,1.15,1.90,5.95,1.85
O,Agincourt 1,2,BEFORE,YASI-4,26.50,3.25,2.00,6.55,4.40,8.85,1.45
O,Agincourt 1,2,BEFORE,YASI-4,24.70,1.95,1.50,5.35,5.70,8.50,1.70
O,Agincourt 1,2,BEFORE,YASI-4,31.20,2.25,3.40,8.75,7.30,8.20,1.30
O,Chicken,1,AFTER,YASI-4,9.20,0.00,0.00,0.20,0.90,5.95,2.15
O,Chicken,1,AFTER,YASI-4,6.80,0.00,0.10,0.20,0.70,3.95,1.85
O,Chicken,1,AFTER,YASI-4,7.60,0.00,0.20,0.40,1.60,3.45,1.95
O,Chicken,1,BEFORE,YASI-4,21.42,0.15,0.50,1.35,4.51,9.71,5.20
O,Chicken,1,BEFORE,YASI-4,15.00,0.00,1.05,1.65,2.40,5.75,4.15
O,Chicken,1,BEFORE,YASI-4,9.50,0.15,0.30,0.65,2.60,3.30,2.50
M,Davies,1,AFTER,TESSI-2,30.36,0.97,1.22,2.99,4.26,14.79,6.14
M,Davies,1,AFTER,TESSI-2,31.55,0.68,1.74,3.44,6.70,12.88,6.11
M,Davies,1,AFTER,TESSI-2,40.77,2.17,3.45,7.48,6.03,15.66,5.99
M,Davies,1,BEFORE,TESSI-2,37.65,0.82,3.17,5.22,7.12,16.36,4.96
M,Davies,1,BEFORE,TESSI-2,37.38,0.96,2.57,4.63,7.55,15.87,5.82
M,Davies,1,BEFORE,TESSI-2,46.29,1.47,5.72,10.14,7.26,15.73,5.98
M,Hastings,2,AFTER,YASI-4,23.10,0.05,1.00,1.35,5.00,12.80,2.90
M,Hastings,2,AFTER,YASI-4,14.90,0.00,0.45,0.45,5.60,6.10,2.30
M,Hastings,2,AFTER,YASI-4,20.10,0.45,0.90,2.25,3.70,10.10,2.70
M,Hastings,2,BEFORE,YASI-4,21.30,0.45,2.40,3.15,5.50,7.25,2.55
