DHW,CoverChange
9.6,-76.9
9,-29.3
8.9,-12.7
8.2,-47
8.1,-52.3
7.8,-46.1
7.8,5.40000000000001
7.6,-6.8
7.5,-33.3
7.3,-48.5
7.3,-24.8
7.3,22.8
7.2,-31
6.8,-24.7
6.7,-30.4
6.5,-49
6,-39.3
5.9,22.8
5.3,-37.5
4.4,-39.7
4.4,-7.40000000000001
3.7,-35.1
3.5,55.8
3.5,3.59999999999999
3.5,-2.40000000000001
3.3,-1.40000000000001
3.1,-16.6
3.1,-22.2
2.9,25.3
2.8,-2.40000000000001
2.6,-1.3
2.2,-1.59999999999999
2,2.2
1.8,-11
0.2,2.90000000000001
0.2,8.09999999999999
0.2,-8
3,-31.9
2.8,-40.1
3,-41.1
3,-50.3
3.3,-50.3
3.8,-79.7
5.1,-52
5,-58
4.9,-63
5.3,-74
5.6,-63.1
5.9,-58.5
7,-67.2
7.8,-61.6
7,-73.5
7.1,-88.6
8,-71.3
7.7,-72.3
7.9,-75
9.4,-84.1
8.9,-85.9
8.8,-90.9
10,-89.4
9.5,-94.2
