DHW,CoverChange
8.9,-81.7633048356074
5,-62.2093830217306
2.9,4.04229946595008
2,3.08808169896714
7.3,-54.2679118280222
3.5,-37.3891651488521
5.3,-25.776145964514
9.4,-93.4216311668206
9.4,-66.4029504203519
3.3,-8.12052561506646
7.8,-92.7844373154316
7.5,-82.9950208712549
8.9,-29.787794175811
8,-42.1719936376609
3.7,-15.7253744073928
2.8,4.37122402654093
6.7,-19.6218202726977
0.2,1.93033765870135
5,-62.9107227813209
3.8,-8.79949326359231
7.3,-52.7291587172608
6.8,-12.2718996942733
9.4,-93.0564560708716
1.8,3.90712892271066
6.7,-6.91694340237235
5.3,-41.1191943039288
8.9,-32.381948610154
3.7,-1.4487392670632
2.9,4.79475412391726
9,-21.8260687916883
3,1.63957872002622
5.6,-1.59141376757956
2.6,3.79370571229031
0.2,3.0275374129956
6.7,-77.9058956731757
2.8,1.39155941730434
9.5,-84.0800990549612
3,3.38017766577531
5.9,-70.3464544779788
6.7,-79.4621227980979
7,-76.6495737871954
0.2,5.43820175715281
5.9,-5.78433403819987
7,-7.29423283246076
3.7,-18.8564617804494
7.1,-37.5049025064867
2.8,5.16629330507688
0.2,4.42877751902539
1.8,3.56055475889494
7.3,-75.6582326878528
0.2,3.91876905095529
8.2,-19.7756387047576
2.8,4.5866226884395
0.2,5.54795415081984
7.8,-89.9524297564131
9.5,-71.8600658667523
8.2,-79.2059612629121
6.7,-37.6293769780162
3.1,-4.71166623718502
0.2,3.74685518430969
5.9,-28.2004405482775
8.9,-91.8284310538422
10,-76.6776156009438
5.3,-31.0185014333998
1.8,1.95833973874915
3.7,-27.1087009160499
9,-86.0305396637825
4.9,-30.0723081377875
3,-11.0074714313838
8.1,-53.4242127715222
3,3.081315060528
5,-64.7440006714034
7,-13.5297651576292
3.7,-30.3139190725923
7,-91.4724332633695
0.2,1.79771367696469
7.5,-88.5292770178483
3,0.134442013584766
0.2,3.89589429939169
3,-33.4010066133553
5.1,-93.2225600044047
7.6,-47.4462254701756
6.5,-70.349433594135
6.7,-53.0311446376082
7.1,-52.531877669889
7,-42.1904363924147
3.7,-3.80179759762669
7.3,-53.4102449031927
6.7,-35.8036818142667
7.9,-51.7174437796486
9.6,-73.9974169299362
6.8,-43.3328639888134
5.3,-54.3536451800263
0.2,4.74376682123861
7.9,-41.7182169325614
7.7,-64.0197180404542
7.7,-80.587578233742
5.3,-55.0445389036402
9.6,-92.8475204570886
9.6,-46.5386917611514
3,0.401359004663199
3,1.40909107354552
10,-91.8173786263761
3.3,-53.3817353986248
5.9,-8.51220714320251
5.9,-79.7790584227792
3,3.21927380388579
5.3,-92.5138612187897
5.3,-45.6029343935117
4.4,-28.1587025200726
7.8,-66.0566361021116
8.9,-89.4038929197696
8,-25.7303419956676
10,-69.9837771366912
2.8,4.44363129876413
7.3,-78.4088713576641
3.7,-5.77625436839503
